Link_Image,Cand_Name,Cand_Id,Cand_Office,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Coverage_End_Date,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MO06134&tabIndex=1","ANDRES, EDWARD H","H8MO06134","H","MO","06","DEM","CHALLENGER","13370","13370","0","0","12/31/2018","2323 NW PARKWAY","","ST. JOSEPH","MO","64503","3350","1516","4866","0","0","7500","12366","0","0","0","0","4","0","0","1000","7762.79","0","0","0","0","0","0","0","0","0","0","5607.21","12366","7758.79","0","0","11/09/2016"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WA03198&tabIndex=1","LONG, CAROLYN N.","H8WA03198","H","WA","03","DEM","CHALLENGER","3883284","3853132.37","30151.63","10000","12/31/2018","PO BOX 821288","","VANCOUVER","WA","98682","2208800.94","1019817.03","3228617.97","306098.56","2081.7","2896.9","3539695.13","336126.02","5500","0","5500","1962.85","0","0","0","3714904.33","0","0","0","5500","0","5500","18738.41","0","0","18738.41","113989.63","3520956.72","3712941.48","0","0","10/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8CT00113&tabIndex=1","RAPINI, DOMINIC","S8CT00113","S","CT","00","REP","CHALLENGER","198123.57","168307.75","46631.07","30000","12/31/2018","PO BOX 781","","FAIRFIELD","CT","06824","104999","17132","122131","0","0","0","122131","0","75991.57","0","75991.57","0","0","0","0","167307.75","0","0","0","0","0","0","1000","0","0","1000","0","121131","167307.75","0","0","04/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8DE00079&tabIndex=1","CARPER, THOMAS R","S8DE00079","S","DE","00","DEM","INCUMBENT","3236955.45","3121074.42","360641.86","0","12/31/2018","600 WEST MATSON RUN PARKWAY","","WILMINGTON","DE","19802","1157454","103121.33","1260577.33","1896543.64","0","0","3157120.97","15497.16","0","0","0","63180.93","0","0","1154.22","2800153.42","0","0","0","0","0","0","22918.82","0","10150","33068.82","287847.18","3124050.15","2736972.49","244760","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8KS04161&tabIndex=1","COBB, ALAN EARL","H8KS04161","H","KS","04","REP","OPEN","150369.61","150369.61","0","0","09/30/2017","P.O. BOX 354","","WICHITA","KS","67201","143793.13","3279","147072.13","0","0","0","147072.13","0","0","0","0","597.48","0","0","2700","48366.37","0","0","5300","0","0","0","93306","0","0","93306","3397.24","53766.13","47768.89","0","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4IL18117&tabIndex=1","MILLER, DARREL","H4IL18117","H","IL","18","DEM","CHALLENGER","0","0","0","0","","18636 NORTH 500 EAST ROAD ","","DANVERS","IL","61732","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8AL07089&tabIndex=1","RICE, RICHARD BRAND NEW","H8AL07089","H","AL","07","DEM","CHALLENGER","0","0","0","0","","714 S. GAY STREET","SUITE 201","KNOXVILLE","TN","37902","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8SD01089&tabIndex=1","TERRELL, ERIC BRAND NEW","H8SD01089","H","SD","00","REP","OPEN","0","0","0","0","","714 S. GAY STREET","SUITE 201","KNOXVILLE","TN","37902","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8FL16055&tabIndex=1","SHAPIRO, M. DAVID","H8FL16055","H","FL","16","DEM","CHALLENGER","2618549.15","2616315.52","2233.63","155000","12/31/2018","5212 SIESTA COVE DRIVE","","SARASOTA","FL","34242","1874606.59","291707.37","2166313.96","133873.04","5000","10200","2315387","15700","200000","0","200000","87462.15","0","0","0","2566021.19","0","0","0","45000","0","45000","5294.33","0","0","5294.33","0","2310092.67","2478559.04","0","0","10/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MI13318&tabIndex=1","YOUNG, COLEMAN ALEXANDER MR. II","H8MI13318","H","MI","13","DEM","OPEN","55824.6","42152.27","0","1316.21","12/31/2018","1495 SHERIDAN","","DETROIT","MI","48214","12568","2954.6","15522.6","0","0","0","15522.6","0","39802","0","39802","0","0","0","500","41940.66","0","0","0","0","0","0","211.61","0","0","211.61","0","15310.99","41940.66","0","0","01/01/2018"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN01253&tabIndex=1","JENSEN, VICKI","H8MN01253","H","MN","01","DEM","OPEN","72816.55","72491.27","325.28","0","12/31/2018","P.O. BOX 346","","OWATONNA","MN","55060","36705","29650.55","66355.55","2536","0","1425","70316.55","0","0","2500","2500","0","0","0","0","72016.27","0","0","0","0","0","0","250","0","0","250","225","70066.55","72016.27","0","0","05/16/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN01279&tabIndex=1","FEEHAN, DANIEL","H8MN01279","H","MN","01","DFL","OPEN","4177224.93","4173703.49","3521.44","0","12/31/2018","PO BOX 1844","","NORTH MANKATO","MN","56002","2495741.37","496300.86","2992042.23","472045.69","10848.88","1270.05","3476206.85","697953.82","0","0","0","3064.26","0","0","0","4120771.78","0","0","0","0","0","0","42901.24","0","10030.47","52931.71","0","3423275.14","4117707.52","0","0","07/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MT01257&tabIndex=1","SWANSON, ELINOR","H8MT01257","H","MT","00","LIB","CHALLENGER","12761.69","4023.32","14817.43","15077.83","09/30/2018","1800 43RD ST. W.","","BILLINGS","MT","59106","217.32","2830.78","3048.1","0","0","0","3048.1","0","9713.59","0","9713.59","0","0","0","0","4023.32","0","0","0","0","0","0","0","0","0","0","0","3048.1","4023.32","6079.06","0","04/01/2018"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NJ06159&tabIndex=1","CHILLARA, SRIDHAR","H8NJ06159","H","NJ","06","REP","CHALLENGER","0","0","0","0","03/31/2018","24 BOICE LANE","","BELLE MEAD","NJ","08502","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","03/16/2018"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA51082&tabIndex=1","MERCADO, JUAN","H6CA51082","H","CA","51","NNE","CHALLENGER","20004.62","19760.59","1000","0","06/30/2018","830 BROADWAY ","UNIT 8","EL CAJON","CA","92021","1000","4.62","1004.62","0","0","10500","11504.62","0","8500","0","8500","0","0","0","0","17762.85","0","0","0","1997.74","0","1997.74","0","0","0","0","0","11504.62","17762.85","755.97","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WI05132&tabIndex=1","RUNDBLADE, SHAWN","H8WI05132","H","WI","05","DEM","CHALLENGER","0","0","0","0","","500 LINCOLN AVENUE","APARTMENT 3","WAUKESHA","WI","53186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8AK01015&tabIndex=1","FITCH, GREGORY FITCH MR","H8AK01015","H","AK","00","NPA","CHALLENGER","0","0","0","0","","9000 STEPHEN RICHARDS MEMORIAL DR.","","JUNEAU","AK","99801","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IL01114&tabIndex=1","RUDBECK, THOMAS MR.","H8IL01114","H","IL","01","IND","CHALLENGER","267175","228969.02","20265.47","0","11/26/2018","4923 S KIMBARK AVE","","CHICAGO","IL","60615","242900","550","243450","0","0","23725","267175","0","0","0","0","0","0","0","0","221339.1","0","0","0","0","0","0","250","0","0","250","7379.92","266925","221339.1","0","0","04/01/2018"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX24111&tabIndex=1","BIGGAN, JOHN","H8TX24111","H","TX","24","DEM","CHALLENGER","86564.64","86564.64","0","0","06/30/2018","PO BOX 187","","HURST","TX","76053","55885","7443","63328","0","4000","12736.64","80064.64","0","6500","0","6500","0","0","0","0","86564.64","0","0","0","0","0","0","0","0","0","0","0","80064.64","86564.64","0","0","10/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0WI07051&tabIndex=1","DUFFY, SEAN","H0WI07051","H","WI","07","REP","INCUMBENT","3650628.45","2837983.83","1787473.59","0","12/31/2018","PO BOX 538","","WAUSAU","WI","544020538","1647768.12","233997.23","1881765.35","1447650","100","0","3329515.35","308143.85","0","0","0","3007.53","0","0","9961.72","2496843.83","0","0","160000","0","0","0","30700","0","1000","31700","149440","3297815.35","2493836.3","974828.97","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0WV01072&tabIndex=1","MCKINLEY, DAVID B. MR.","H0WV01072","H","WV","01","REP","INCUMBENT","1326586.14","1442439.97","386465.14","315000","12/31/2018","147 BETHANY PIKE","","WHEELING","WV","26003","431505.14","19981","451486.14","874350","750","0","1326586.14","0","0","0","0","0","0","0","0","1153039.97","0","0","0","100000","0","100000","3150","0","1500","4650","184750","1321936.14","1153039.97","502318.97","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2AZ07070&tabIndex=1","GRIJALVA, RAUL M","H2AZ07070","H","AZ","03","DEM","INCUMBENT","713305.82","733300.37","38155.74","4015.59","12/31/2018","PO BOX 1242","","TUCSON","AZ","85702","239942.68","181765.16","421707.84","283500","0","0","705207.84","4440.43","0","0","0","3489.91","0","0","167.64","700647.89","0","0","0","0","0","0","5500","0","6500","12000","20652.48","693207.84","697157.98","58150.29","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA08164&tabIndex=1","COOK, PAUL","H2CA08164","H","CA","08","REP","INCUMBENT","978469.19","1409426.35","140257.11","0","12/31/2018","PO BOX 365","","YUCCA VALLEY","CA","92284","296755.63","10979.78","307735.41","650349","0","0","958084.41","12862.53","0","0","0","7117","0","0","405.25","1394446.35","0","0","0","0","0","0","11100","0","0","11100","3880","946984.41","1387329.35","571214.27","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX29060&tabIndex=1","VALENCIA, PEDRO","H8TX29060","H","TX","29","DEM","OPEN","5598.35","5566.46","31.89","1458.47","06/30/2018","14360 BELLAIRE BLVD","SUITE 120","HOUSTON","TX","77083","862.69","1710.66","2573.35","0","0","0","2573.35","0","3025","0","3025","0","0","0","0","3763.46","0","0","0","1803","0","1803","0","0","0","0","0","2573.35","3763.46","0","0","10/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN03143&tabIndex=1","PHILLIPS, DEAN","H8MN03143","H","MN","03","DFL","CHALLENGER","6307590.94","6266109.21","41481.73","292938.19","12/31/2018","PO BOX 741","","EXCELSIOR","MN","55331","3821251.96","1068654.02","4889905.98","0","0","32992.67","4922898.65","58679.97","1316568.5","0","1316568.5","6804.58","0","0","2639.24","6230563.8","0","0","0","0","0","0","35545.41","0","0","35545.41","0","4887353.24","6223759.22","0","0","04/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA52089&tabIndex=1","PETERS, SCOTT","H2CA52089","H","CA","52","DEM","INCUMBENT","2793181.8","2065312.97","1801176.44","166871.47","12/31/2018","PO BOX 22074","","SAN DIEGO","CA","92122","971009.66","197318.09","1168327.75","1513257.19","2934.72","51394.51","2735914.17","0","0","0","0","32803.15","0","0","24464.48","1749256.52","0","0","0","85000","0","85000","13460.5","0","1000","14460.5","216595.95","2721453.67","1716453.37","1073307.61","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CT02112&tabIndex=1","COURTNEY, JOSEPH D","H2CT02112","H","CT","02","DEM","INCUMBENT","1156318.91","1028800.15","750441.24","0","12/31/2018","9 TOBIAS COURT","","VERNON","CT","06066","383205.21","108464.47","491669.68","646325","0","0","1137994.68","9923.55","0","0","0","3224.63","0","0","5176.05","867500.15","0","0","0","0","0","0","100","0","7000","7100","154200","1130894.68","864275.52","622922.48","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN05239&tabIndex=1","OMAR, ILHAN","H8MN05239","H","MN","05","DFL","OPEN","1084183.04","1029353.77","54829.27","0","12/31/2018","400 SOUTH 4TH STREET","SUITE 401-200","MINNEAPOLIS","MN","55415","575041.35","319197.69","894239.04","189943.13","0","0","1084182.17","0","0","0","0",".87","0","0","0","831803.92","0","0","0","0","0","0","9869.5","0","500","10369.5","187180.35","1073812.67","831803.05","0","0","06/07/2018"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2FL08063&tabIndex=1","DEMINGS, VALDEZ VAL","H2FL08063","H","FL","10","DEM","INCUMBENT","838814.13","843279.49","86394.9","10790.44","12/31/2018","PO BOX 536926","","ORLANDO","FL","32853","219913.31","26176.75","246090.06","588577.09","0","0","834667.15","0","0","0","0","3684.85","0","0","462.13","485599.99","0","0","0","0","0","0","414.5","0","0","414.5","357265","834252.65","481915.14","90860.26","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2FL14053&tabIndex=1","FRANKEL, LOIS J.","H2FL14053","H","FL","21","DEM","INCUMBENT","983333.91","828325.62","967075.88","0","12/31/2018","PO BOX 812421","","BOCA RATON","FL","33481","427197.83","67404.61","494602.44","477829.14","37.73","0","972469.31","0","0","0","0","2428.28","0","0","8436.32","463728.2","0","0","0","0","0","0","3775","0","0","3775","360822.42","968694.31","461299.92","812067.59","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN05247&tabIndex=1","TORRES RAY, PATRICIA","H8MN05247","H","MN","05","DEM","OPEN","96970.51","93540.43","3430.08","0","12/31/2018","P.O. BOX 6428","","MINNEAPOLIS","MN","55406","63352","26669","90021","5000","0","1949.51","96970.51","0","0","0","0","0","0","0","0","88565.43","0","0","0","0","0","0","1075","0","0","1075","3900","95895.51","88565.43","0","0","06/05/2018"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8AZ08208&tabIndex=1","SAWDY, STEVEN","H8AZ08208","H","AZ","08","REP","OPEN","1000","395","574","0","10/15/2018","4313 W YORKSHIRE DR","","GLENDALE","AZ","85308","0","0","0","0","0","1000","1000","0","0","0","0","0","0","0","0","389","0","0","0","0","0","0","0","0","0","0","6","1000","389","0","0","01/01/2018"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8GA08118&tabIndex=1","COOPER, JAMES L III","H8GA08118","H","GA","08","GRE","CHALLENGER","0","0","0","0","","3388 CAUSEY RD","","LIZELLA","GA","31052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WA03172&tabIndex=1","GASQUE, DOROTHY","H8WA03172","H","WA","03","DEM","CHALLENGER","88996.73","45068.63","22533.15","0","07/18/2018","712 NW 72ND ST","","VANCOUVER","WA","98665","40990.94","44321.15","85312.09","311.5","0","0","85623.59","0","0","0","0","0","0","0","3373.14","40170.12","0","0","0","0","0","0","0","0","0","0","4898.51","85623.59","40170.12","0","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA10134&tabIndex=1","BATTISTA, LISA","H8CA10134","H","CA","10","DEM","CHALLENGER","7028.37","1840.64","5187.73","524.79","06/30/2017","3430 TULLY ROAD","SUITE 20-441","MODESTO","CA","95350","2700","3803.58","6503.58","0","0","0","6503.58","0","524.79","0","524.79","0","0","0","0","1840.64","0","0","0","0","0","0","0","0","0","0","0","6503.58","1840.64","0","0","04/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8LA03086&tabIndex=1","THOMAS, VERONE A MR","H8LA03086","H","LA","03","DEM","CHALLENGER","3000","3032.29","27.71","0","11/26/2018","2412 KATHERINE STREET","","LAKE CHARLES","LA","70601","2450","550","3000","0","0","0","3000","0","0","0","0","0","0","0","0","3032.29","0","0","0","0","0","0","0","0","0","0","0","3000","3032.29","0","0","07/01/2018"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8SC05216&tabIndex=1","MURPHY, LES","H8SC05216","H","SC","05","DEM","OPEN","8960","3824.17","5135.83","0","04/12/2017","9789 CHARLOTTE HWY 400-137","","FORT MILL","SC","29707","8000","305","8305","0","655","0","8960","0","0","0","0","0","0","0","0","3824.17","0","0","0","0","0","0","0","0","0","0","0","8960","3824.17","0","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2IA05072&tabIndex=1","KING, STEVE MR.","H2IA05072","H","IA","04","REP","INCUMBENT","876229.78","976612.43","26220.5","0","12/31/2018","3897 ESTHER AVENUE","","KIRON","IA","514488003","435096.61","199044.75","634141.36","234243","4250","0","872634.36","0","0","0","0","224.64","0","0","3370.78","973903.68","0","0","0","0","0","0","2700","0","0","2700","8.75","869934.36","973679.04","126603.15","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6PA08277&tabIndex=1","FITZPATRICK, BRIAN","H6PA08277","H","PA","01","REP","INCUMBENT","3445008.82","3474143.47","116634.82","24750","12/31/2018","PO BOX 939","","LANGHORNE","PA","19047","1383749.76","101692.88","1485442.64","1495730.37","250","0","2981423.01","434013.55","0","0","0","26411.71","0","0","3160.55","3340038.62","0","0","694.35","0","0","0","26635.5","0","8850","35485.5","97925","2945937.51","3313626.91","145769.47","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6PA16296&tabIndex=1","HARTMAN, CHRISTINA M","H6PA16296","H","PA","10","DEM","CHALLENGER","548792.09","568315.6","25229.65","17000","12/31/2018","PO BOX 1576","","LANCASTER","PA","17608","369992.66","80863.77","450856.43","68800","149","0","519805.43","4156.07","0","12000","12000","12830.59","0","0","0","436318.6","0","0","0","0","45500","45500","76247","0","7000","83247","3250","436558.43","423488.01","44753.16","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2GA09150&tabIndex=1","COLLINS, DOUGLAS ALLEN","H2GA09150","H","GA","09","REP","INCUMBENT","1415137.02","758333.4","853081.48","0","12/31/2018","4833 T. MARTIN RD.","","GAINESVILLE","GA","30506","449390.31","44052.04","493442.35","909300","663.98","0","1403406.33","9573.58","0","0","0","2157.11","0","0","0","679200.8","0","0","0","0","0","0","2750","0","2000","4750","74382.6","1398656.33","677043.69","196277.86","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6PA16320&tabIndex=1","SMUCKER, LLOYD K.","H6PA16320","H","PA","11","REP","INCUMBENT","1868454.86","1892315.52","10160.89","119265.85","12/31/2018","248 STEEL WAY","PO BOX 7066","LANCASTER","PA","17601","476102.2","18408","494510.2","980934.85","6500","0","1481945.05","386486.54","0","0","0","23.27","0","0","0","1529743.16","0","0","6862.36","305000","0","305000","16600","0","3000","19600","31110","1462345.05","1529719.89","34021.55","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TN01388&tabIndex=1","ROE, DAVID PHILLIP DR.","H6TN01388","H","TN","01","REP","INCUMBENT","358884","605820.78","227191.9","0","12/31/2018","2 N CROSSBOW LN","","JOHNSON CITY","TN","376043639","306418","30741","337159","18000","1000","0","356159","0","0","0","0","725","0","0","2000","538258.78","0","0","0","0","0","0","125","0","0","125","67437","356034","537533.78","474128.68","0","01/01/2017"
